attacker,defender,damage
Ragnar,Merlin,15
Legolas,Aragorn,20
Merlin,Legolas,25
Aragorn,Gandalf,30
Robin,Eowyn,10
Saruman,Hawkeye,20
Boromir,Radagast,15
GreenArrow,Thorin,25
Thorin,Dumbledore,30
Katniss,Lancelot,20
Morgana,Sylvanas,15
Achilles,Hermione,25
Leonidas,Legion,30
Zatanna,Leonidas,20
Artemis,Hector,15
Circe,Apollo,25
Beowulf,Prospero,30
Orion,Hercules,20
Selene,Atalanta,15
Odysseus,Hecate,25
Orpheus,Theseus,30
Calypso,Pandora,20
Jason,Cirilla,15
Faramir,Boudica,25
Morrigan,Ragnar,30
Merlin,Legolas,20
Legolas,Aragorn,15
Aragorn,Gandalf,25
Robin,Eowyn,30
Saruman,Hawkeye,20
Boromir,Radagast,15
GreenArrow,Thorin,25
Thorin,Dumbledore,30
Katniss,Lancelot,20
Morgana,Sylvanas,15
Achilles,Hermione,25
Leonidas,Legion,30
Zatanna,Leonidas,20
Artemis,Hector,15
Circe,Apollo,25
Beowulf,Prospero,30
Orion,Hercules,20
Selene,Atalanta,15
Odysseus,Hecate,25
Orpheus,Theseus,30
Calypso,Pandora,20
Jason,Cirilla,15
Faramir,Boudica,25
Morrigan,Ragnar,30
Morrigan,Ragnar,25
Ragnar,Merlin,20
Legolas,Aragorn,15
Merlin,Legolas,30
Aragorn,Gandalf,25
Robin,Eowyn,20
Saruman,Hawkeye,15
Boromir,Radagast,30
GreenArrow,Thorin,20
Thorin,Dumbledore,25
Katniss,Lancelot,30
Morgana,Sylvanas,20
Achilles,Hermione,15
Leonidas,Legion,25
Zatanna,Leonidas,30
Artemis,Hector,20
Circe,Apollo,15
Beowulf,Prospero,25
Orion,Hercules,30
Selene,Atalanta,20
Odysseus,Hecate,15
Orpheus,Theseus,25
Calypso,Pandora,30
Jason,Cirilla,20
Faramir,Boudica,15
Morrigan,Ragnar,25
Ragnar,Merlin,30
Legolas,Aragorn,20
Merlin,Legolas,15
Aragorn,Gandalf,25
Robin,Eowyn,30
Saruman,Hawkeye,20
Boromir,Radagast,15
GreenArrow,Thorin,25
Thorin,Dumbledore,30
Katniss,Lancelot,20
Morgana,Sylvanas,15
Achilles,Hermione,25
Leonidas,Legion,30
Zatanna,Leonidas,20
Artemis,Hector,15
Circe,Apollo,25
Beowulf,Prospero,30
Orion,Hercules,20
Selene,Atalanta,15
Odysseus,Hecate,25
Orpheus,Theseus,30
Calypso,Pandora,20
Jason,Cirilla,15
Faramir,Boudica,25
Morrigan,Ragnar,30
Ragnar,Merlin,20
Legolas,Aragorn,15
Merlin,Legolas,30
Aragorn,Gandalf,25
Robin,Eowyn,20
Saruman,Hawkeye,15
Boromir,Radagast,30
GreenArrow,Thorin,20
Thorin,Dumbledore,25
Katniss,Lancelot,30
Morgana,Sylvanas,20
Achilles,Hermione,15
Leonidas,Legion,25
Zatanna,Leonidas,30
Artemis,Hector,20
Circe,Apollo,15
Beowulf,Prospero,25
Orion,Hercules,30
Selene,Atalanta,20
Odysseus,Hecate,15
Orpheus,Theseus,25
