name,health,level,experience,class
Ragnar,120,1,0,Warrior
Merlin,80,1,0,Mage
Legolas,100,1,0,Archer
Aragorn,100,2,50,Warrior
Gandalf,80,3,90,Mage
Robin,100,1,20,Archer
Eowyn,100,2,40,Warrior
Saruman,80,3,70,Mage
Hawkeye,100,1,10,Archer
Boromir,120,2,30,Warrior
Radagast,80,1,15,Mage
GreenArrow,100,2,25,Archer
Thorin,120,3,60,Warrior
Dumbledore,80,4,100,Mage
Katniss,100,2,35,Archer
Lancelot,120,2,45,Warrior
Morgana,80,3,80,Mage
Sylvanas,100,3,50,Archer
Achilles,120,4,90,Warrior
Hermione,80,2,20,Mage
Legion,100,1,5,Archer
Leonidas,120,3,75,Warrior
Zatanna,80,2,30,Mage
Artemis,100,2,40,Archer
Hector,120,2,50,Warrior
Circe,80,3,60,Mage
Apollo,100,1,15,Archer
Beowulf,120,4,85,Warrior
Prospero,80,2,25,Mage
Orion,100,3,45,Archer
Hercules,120,5,120,Warrior
Medea,80,3,50,Mage
Cupid,100,1,10,Archer
Ajax,120,2,35,Warrior
Titania,80,2,20,Mage
Diana,100,3,55,Archer
Perseus,120,4,95,Warrior
Selene,80,3,40,Mage
Atalanta,100,2,30,Archer
Odysseus,120,3,65,Warrior
Hecate,80,2,15,Mage
Orpheus,100,1,5,Archer
Theseus,120,4,100,Warrior
Calypso,80,3,45,Mage
Pandora,100,2,25,Archer
Jason,120,3,70,Warrior
Cirilla,80,2,35,Mage
Faramir,100,1,20,Archer
Boudica,120,4,110,Warrior
Morrigan,80,3,55,Mage
